tick,n1,n2,x0,y0,vec_x0,vec_y0,x1,y1,vec_x1,vec_y1,x2,y2,vec_x2,vec_y2,x3,y3,vec_x3,vec_y3,x4,y4,vec_x4,vec_y4,x5,y5,vec_x5,vec_y5,x6,y6,vec_x6,vec_y6,x7,y7,vec_x7,vec_y7,x8,y8,vec_x8,vec_y8,x9,y9,vec_x9,vec_y9
26460,5,5,76.0,76.0,9.84375,81.34375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,47.90625,175.34375,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
26490,5,5,76.0,76.0,9.84375,81.34375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,47.90625,175.34375,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
26520,5,5,76.0,76.0,9.84375,81.34375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,47.90625,175.34375,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
26550,5,5,76.0,76.0,9.84375,81.34375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,47.90625,175.34375,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
26580,5,5,76.0,76.0,9.84375,81.34375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,47.90625,175.34375,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
26610,5,5,76.0,76.0,9.84375,81.34375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,47.90625,175.34375,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
26640,5,5,76.0,76.0,9.84375,81.34375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,47.90625,175.34375,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
26670,5,5,76.0,76.0,9.84375,81.34375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,47.90625,175.34375,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
26700,5,5,76.0,76.0,9.84375,81.34375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,47.90625,175.34375,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
26730,5,5,76.0,76.0,9.84375,81.34375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,47.90625,175.34375,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
26760,5,5,76.0,76.0,9.84375,81.34375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,47.90625,175.34375,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
26790,5,5,76.0,76.0,9.84375,81.34375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,47.90625,175.34375,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
26820,5,5,76.0,76.0,9.84375,81.34375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,47.90625,175.34375,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
26850,5,5,76.0,76.0,9.84375,81.34375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,47.90625,175.34375,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
26880,5,5,76.0,76.0,9.84375,81.34375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,47.90625,175.34375,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
26910,5,5,76.0,76.0,9.84375,81.34375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,47.90625,175.34375,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
26940,5,5,76.0,76.0,9.84375,81.34375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,47.90625,175.34375,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
26970,5,5,76.0,76.0,9.84375,81.34375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,47.90625,175.34375,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
27000,5,5,76.0,76.0,9.84375,81.34375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,47.90625,175.34375,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
27030,5,5,76.0,76.0,9.84375,81.34375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,47.90625,175.34375,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
27060,5,5,76.0,76.0,9.84375,81.34375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,47.90625,175.34375,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
27090,5,5,76.0,76.0,9.84375,81.34375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,47.90625,175.34375,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
27120,5,5,76.0,76.0,9.84375,81.34375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,47.90625,175.34375,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
27150,5,5,76.0,76.0,9.84375,81.34375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,47.90625,175.34375,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
27180,5,5,76.0,76.0,9.84375,81.34375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,47.90625,175.34375,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
27210,5,5,76.0,76.0,9.84375,81.34375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,47.90625,175.34375,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
27240,5,5,76.0,76.0,9.84375,81.34375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,47.90625,175.34375,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
27270,5,5,76.0,76.0,9.84375,81.34375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,47.90625,175.34375,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
27300,5,5,76.0,76.0,76.1875,31.0625,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,178.0,91.3125,117.96875,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
27330,5,5,76.0,74.0,125.90624,249.375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,176.0,107.03124,140.96875,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
27360,5,5,76.0,74.0,125.90624,249.375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,176.0,107.03124,140.96875,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
27390,5,5,76.0,74.0,125.90624,249.375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,176.0,107.03124,140.96875,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
27420,5,5,76.0,74.0,125.90624,249.375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,176.0,107.03124,140.96875,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
27450,5,5,76.0,74.0,125.90624,249.375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,176.0,107.03124,140.96875,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
27480,5,5,76.0,74.0,125.90624,249.375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,176.0,107.03124,140.96875,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
27510,5,5,76.0,74.0,125.90624,249.375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,176.0,107.03124,140.96875,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
27540,5,5,76.0,74.0,125.90624,249.375,74.0,76.0,162.0,105.96875,74.0,76.0,12.0,230.96875,72.0,78.0,218.0,124.96875,72.0,80.0,251.65625,159.28125,182.0,176.0,107.03124,140.96875,182.0,178.0,38.0,99.96875,182.0,176.0,188.0,231.96875,182.0,176.0,238.0,80.96875,184.0,174.0,132.0,211.96875
